op,world_size,bytes,time_ms,algbw_GBps,busbw_GBps
broadcast,8,4096,0.0441,0.09,0.09
broadcast,8,65536,0.0363,1.8,1.8
broadcast,8,1048576,0.0475,22.06,22.06
broadcast,8,16777216,0.8637,19.43,19.43
broadcast,8,268435456,13.8224,19.42,19.42
broadcast,8,1073741824,55.664,19.29,19.29
scatter,8,4096,0.0421,0.1,0.09
scatter,8,65536,0.0404,1.62,1.42
scatter,8,1048576,0.0313,33.5,29.31
scatter,8,16777216,0.3013,55.68,48.72
scatter,8,268435456,4.6948,57.18,50.03
scatter,8,1073741824,18.7097,57.39,50.22
gather,8,4096,0.0184,0.22,0.2
gather,8,65536,0.0179,3.65,3.2
gather,8,1048576,0.0328,31.97,27.97
gather,8,16777216,0.3594,46.68,40.85
gather,8,268435456,5.3345,50.32,44.03
gather,8,1073741824,21.1899,50.67,44.34
all_gather,8,4096,0.035,0.12,0.1
all_gather,8,65536,0.0367,1.79,1.56
all_gather,8,1048576,0.0919,11.41,9.98
all_gather,8,16777216,0.7975,21.04,18.41
all_gather,8,268435456,12.3543,21.73,19.01
all_gather,8,1073741824,49.3389,21.76,19.04
reduce_scatter,8,4096,0.0321,0.13,0.11
reduce_scatter,8,65536,0.0408,1.6,1.4
reduce_scatter,8,1048576,0.0992,10.57,9.25
reduce_scatter,8,16777216,0.9549,17.57,15.37
reduce_scatter,8,268435456,14.8167,18.12,15.85
reduce_scatter,8,1073741824,59.2264,18.13,15.86
all_reduce,8,4096,0.0589,0.07,0.12
all_reduce,8,65536,0.0689,0.95,1.66
all_reduce,8,1048576,0.1685,6.22,10.89
all_reduce,8,16777216,1.6972,9.89,17.3
all_reduce,8,268435456,26.5368,10.12,17.7
all_reduce,8,1073741824,105.301,10.2,17.84
