step,val_loss,train_ema
1,4.1641,4.1875
100,2.4703,2.8279
200,2.1562,2.3203
300,1.8641,1.8836
400,1.7055,1.6115
500,1.6191,1.4519
600,1.5719,1.3613
700,1.5332,1.2887
800,1.527,1.2214
900,1.5437,1.1721
1000,1.5637,1.1164
1100,1.5973,1.0592
1200,1.6297,0.994
1300,1.6773,0.9294
1400,1.7602,0.8546
1500,1.8445,0.7734
1600,1.9117,0.6999
1700,2.0383,0.6188
1800,2.1016,0.5532
1900,2.2258,0.4875
2000,2.3328,0.434
2100,2.4406,0.3835
2200,2.5164,0.3433
2300,2.6141,0.3107
2400,2.6836,0.2793
2500,2.7523,0.2563
2600,2.7766,0.2344
2700,2.8547,0.2174
2800,2.9172,0.2008
2900,2.975,0.1879
3000,2.9977,0.176
3100,3.0492,0.1648
3200,3.0984,0.1565
3300,3.1375,0.1488
3400,3.1719,0.1411
3500,3.1789,0.1347
3600,3.2148,0.1287
3700,3.2391,0.123
3800,3.2859,0.1181
3900,3.3047,0.1131
4000,3.3414,0.109
4100,3.3391,0.1065
4200,3.368,0.1028
4300,3.3719,0.0996
4400,3.3852,0.0962
4500,3.4469,0.0938
4600,3.4344,0.0921
4700,3.4453,0.0899
4800,3.4422,0.0885
4900,3.4789,0.0872
5000,3.4633,0.0857
5100,3.475,0.0844
5200,3.4836,0.0837
5300,3.4883,0.0823
5400,3.5031,0.0816
5500,3.5125,0.0809
5600,3.5078,0.0798
5700,3.5094,0.08
5800,3.518,0.0793
5900,3.5164,0.0792
6000,3.5133,0.0785
