step,val_loss,train_ema
1,4.0734,4.1875
100,2.8937,3.2373
200,2.6812,2.7902
300,2.6195,2.6525
400,2.5883,2.5982
500,2.568,2.5708
600,2.5578,2.5541
700,2.5484,2.5405
800,2.543,2.5312
900,2.5367,2.5219
1000,2.5289,2.5141
1100,2.5258,2.5084
1200,2.5187,2.5036
1300,2.5141,2.4978
1400,2.5102,2.4938
1500,2.5031,2.4876
1600,2.4992,2.4802
1700,2.4953,2.4761
1800,2.4859,2.4711
1900,2.4828,2.4651
2000,2.4797,2.462
2100,2.4703,2.4568
2200,2.468,2.4478
2300,2.4617,2.445
2400,2.4578,2.4384
2500,2.4523,2.4358
2600,2.4492,2.4301
2700,2.443,2.4241
2800,2.4383,2.4206
2900,2.4344,2.4157
3000,2.4328,2.4116
