step,val_loss,train_ema
1,4.0683,4.1952
100,2.4638,2.8111
200,2.1613,2.3232
300,1.8814,1.8973
400,1.7238,1.6248
500,1.6166,1.4614
600,1.5876,1.3672
700,1.5441,1.2945
800,1.5316,1.2262
900,1.5337,1.1775
1000,1.5633,1.1233
1100,1.6089,1.0655
1200,1.6473,1.0016
1300,1.6916,0.9366
1400,1.7635,0.8614
1500,1.8632,0.7805
1600,1.945,0.7065
1700,2.0902,0.6233
1800,2.1801,0.5589
1900,2.2909,0.4941
2000,2.4289,0.4374
2100,2.5359,0.3877
2200,2.6492,0.3483
2300,2.7365,0.316
2400,2.83,0.2872
2500,2.9539,0.2641
2600,3.0017,0.243
2700,3.0953,0.225
2800,3.1546,0.2097
2900,3.2424,0.1972
3000,3.2934,0.1859
3100,3.392,0.1747
3200,3.4407,0.1664
3300,3.4705,0.1591
3400,3.5836,0.1501
3500,3.6081,0.1429
3600,3.6503,0.138
3700,3.6626,0.1316
3800,3.7484,0.1269
3900,3.761,0.1212
4000,3.8405,0.1171
4100,3.8989,0.1133
4200,3.8944,0.1094
4300,3.9229,0.1061
4400,3.9634,0.1022
4500,4.0382,0.0995
4600,4.0487,0.0974
4700,4.072,0.0945
4800,4.1015,0.0919
4900,4.1139,0.0905
5000,4.1489,0.0889
5100,4.1695,0.087
5200,4.1844,0.086
5300,4.223,0.084
5400,4.2121,0.0831
5500,4.247,0.082
5600,4.2456,0.0807
5700,4.2613,0.0803
5800,4.256,0.0796
5900,4.2709,0.0789
6000,4.2649,0.0779
