step,val_loss,train_ema
1,3.8751,4.1952
100,2.6252,2.9885
200,2.5167,2.5923
300,2.4679,2.4823
400,2.4135,2.4223
500,2.3454,2.36
600,2.2786,2.2884
700,2.2193,2.2172
800,2.1661,2.15
900,2.1193,2.0879
1000,2.0747,2.0308
1100,2.0332,1.9782
1200,1.9959,1.9302
1300,1.9677,1.8857
1400,1.9456,1.8473
1500,1.9189,1.8091
1600,1.8928,1.7739
1700,1.8747,1.7406
1800,1.8512,1.7158
1900,1.8301,1.6882
2000,1.8153,1.6696
2100,1.7977,1.6458
2200,1.7853,1.6201
2300,1.7703,1.6049
2400,1.7564,1.5839
2500,1.7392,1.573
2600,1.728,1.5582
2700,1.7179,1.5391
2800,1.7035,1.5282
2900,1.6955,1.5122
3000,1.6808,1.4993
