step,val_loss,train_ema
1,4.0679,4.195
100,2.4642,2.8109
200,2.1552,2.3178
300,1.8749,1.8889
400,1.714,1.6173
500,1.6183,1.4581
600,1.5694,1.3662
700,1.54,1.2925
800,1.5342,1.2247
900,1.5321,1.1776
1000,1.5646,1.1226
1100,1.5909,1.0661
1200,1.6456,1.0007
1300,1.6792,0.9366
1400,1.7601,0.862
1500,1.8792,0.78
1600,1.9253,0.7056
1700,2.0707,0.6242
1800,2.1905,0.5576
1900,2.2869,0.4932
2000,2.4325,0.4393
2100,2.556,0.3891
2200,2.643,0.3512
2300,2.7349,0.318
2400,2.8228,0.2874
2500,2.9195,0.2653
2600,2.9938,0.243
2700,3.1106,0.2262
2800,3.1782,0.2111
2900,3.2101,0.1982
3000,3.2516,0.1862
3100,3.3809,0.1747
3200,3.4093,0.1664
3300,3.4736,0.1594
3400,3.5575,0.1502
3500,3.5766,0.1443
3600,3.6279,0.1382
3700,3.7174,0.132
3800,3.7477,0.1267
3900,3.7982,0.1216
4000,3.8285,0.117
4100,3.8862,0.1137
4200,3.8766,0.1098
4300,3.9148,0.1062
4400,3.982,0.1026
4500,4.0148,0.0998
4600,4.0771,0.0979
4700,4.0667,0.0951
4800,4.0786,0.0923
4900,4.1026,0.0913
5000,4.1572,0.0894
5100,4.1405,0.0876
5200,4.1665,0.0864
5300,4.1833,0.0844
5400,4.1754,0.0836
5500,4.2058,0.0824
5600,4.2245,0.0807
5700,4.214,0.0808
5800,4.2443,0.0803
5900,4.2543,0.0791
6000,4.2382,0.0785
