step,val_loss,train_ema
1,3.8748,4.195
100,2.6249,2.9885
200,2.5167,2.5923
300,2.468,2.4823
400,2.4135,2.4223
500,2.3453,2.36
600,2.2787,2.2884
700,2.2193,2.2174
800,2.1669,2.1502
900,2.1196,2.0882
1000,2.0751,2.031
1100,2.0331,1.9784
1200,1.996,1.9305
1300,1.9677,1.886
1400,1.9461,1.8477
1500,1.9188,1.8095
1600,1.8931,1.7743
1700,1.8756,1.741
1800,1.8515,1.7163
1900,1.8305,1.6885
2000,1.8154,1.6698
2100,1.798,1.6462
2200,1.7861,1.6205
2300,1.7702,1.6052
2400,1.7566,1.5842
2500,1.7396,1.5733
2600,1.7283,1.5585
2700,1.7173,1.5394
2800,1.704,1.5285
2900,1.6958,1.5125
3000,1.6811,1.4996
