log10_bin_lo,count
-12.0,0
-11.75,0
-11.5,0
-11.25,0
-11.0,0
-10.75,0
-10.5,0
-10.25,0
-10.0,0
-9.75,1
-9.5,6
-9.25,5
-9.0,4
-8.75,28
-8.5,130
-8.25,321
-8.0,947
-7.75,2170
-7.5,1975
-7.25,6468
-7.0,9822
-6.75,20027
-6.5,32815
-6.25,60095
-6.0,104283
-5.75,187814
-5.5,328088
-5.25,577478
-5.0,998198
-4.75,1579139
-4.5,2166069
-4.25,2195480
-4.0,1421853
-3.75,632894
-3.5,255644
-3.25,109171
-3.0,39704
-2.75,9857
-2.5,2261
-2.25,785
-2.0,232
-1.75,21
-1.5,2
-1.25,0
-1.0,0
-0.75,0
-0.5,0
-0.25,0
0.0,0
0.25,0
0.5,0
0.75,0
1.0,0
1.25,0
1.5,0
1.75,0
